ID_REVIEW,SK_ORDER,VAL_SCORE_REVIEW,DAT_CREATION,DAT_ANSWER
7bc2406110b926393aa56f80a40eba40,1872,4,2018-01-18T00:00:00.000Z,2018-01-18T21:46:59.000Z
80e641a11e56f04c1ad469d5645fdfde,90489,5,2018-03-10T00:00:00.000Z,2018-03-11T03:05:13.000Z
228ce5500dc1d8e020d8d1322874b6f0,78883,5,2018-02-17T00:00:00.000Z,2018-02-18T14:36:24.000Z
e64fb393e7b32834bb789ff8bb30750e,27558,5,2017-04-21T00:00:00.000Z,2017-04-21T22:02:06.000Z
f7c4243c7fe1938f181bec41a392bdeb,79506,5,2018-03-01T00:00:00.000Z,2018-03-02T10:26:53.000Z
15197aa66ff4d0650b5434f1b46cda19,26029,1,2018-04-13T00:00:00.000Z,2018-04-16T00:39:37.000Z
07f9bee5d1b850860defd761afa7ff16,17282,5,2017-07-16T00:00:00.000Z,2017-07-18T19:30:34.000Z
7c6400515c67679fbee952a7525281ef,30318,5,2018-08-14T00:00:00.000Z,2018-08-14T21:36:06.000Z
a3f6f7f6f433de0aefbb97da197c554c,91486,5,2017-05-17T00:00:00.000Z,2017-05-18T12:05:37.000Z
8670d52e15e00043ae7de4c01cc2fe06,81619,4,2018-05-22T00:00:00.000Z,2018-05-23T16:45:47.000Z
c9cfd2d5ab5911836ababae136c3a10c,74443,5,2017-12-23T00:00:00.000Z,2017-12-26T14:36:03.000Z
96052551d87e5f62e6c9f6974ec392e9,19540,5,2017-12-19T00:00:00.000Z,2017-12-20T10:25:22.000Z
23f75a37effc35d9a915b4e1ad483793,10706,4,2018-03-28T00:00:00.000Z,2018-03-30T15:10:55.000Z
9a0abbb668bafb95a6d2b05db43284c4,27245,3,2017-04-30T00:00:00.000Z,2017-05-03T00:02:22.000Z
3948b09f7c818e2d86c9a546758b2335,6805,5,2018-05-23T00:00:00.000Z,2018-05-24T03:00:01.000Z
9314d6f9799f5bfba510cc7bcd468c01,64042,2,2018-01-18T00:00:00.000Z,2018-01-20T21:25:45.000Z
8e15a274d95600fa14f8be64e37a0e67,5584,5,2018-03-24T00:00:00.000Z,2018-03-26T15:58:32.000Z
fdbdb2629a7cde0f66657acc92084e7f,30354,3,2017-09-29T00:00:00.000Z,2017-10-02T01:12:49.000Z
373cbeecea8286a2b66c97b1b157ec46,77426,1,2018-08-15T00:00:00.000Z,2018-08-15T04:10:37.000Z
a2ff510ca4e059c3fefc7a7866571f6f,35982,4,2017-10-06T00:00:00.000Z,2017-10-08T22:36:05.000Z
80c70bc263881ba6525f6cee1d94ac87,13211,5,2018-03-17T00:00:00.000Z,2018-04-04T19:41:11.000Z
d21bbc789670eab777d27372ab9094cc,6294,5,2018-07-10T00:00:00.000Z,2018-07-11T14:10:25.000Z
7bcb3c758c67f23638262c731493e848,14679,5,2017-09-09T00:00:00.000Z,2017-10-17T02:25:47.000Z
0e0190b9db53b689b285d3f3916f8441,2813,5,2017-12-01T00:00:00.000Z,2017-12-09T22:58:58.000Z
66e4430c5bc6b7e3773886bf1c14d912,93208,5,2017-06-23T00:00:00.000Z,2017-06-27T00:52:02.000Z
bf566b3910c328733baf7fca7d2be041,22578,4,2017-11-01T00:00:00.000Z,2017-11-01T20:25:30.000Z
e07eee7ad7666276bd8b27fbd83fd1ff,32326,5,2018-03-29T00:00:00.000Z,2018-04-02T14:19:31.000Z
2c5e27fc178bde7ac173c9c62c31b070,12913,1,2017-12-13T00:00:00.000Z,2017-12-16T07:14:07.000Z
540e7bbb2d06cfb7f85f3a88ba7ac97f,77660,5,2018-01-18T00:00:00.000Z,2018-01-18T19:12:30.000Z
6a18a4001ae7fd911b3b9fb13686d105,63781,5,2017-07-19T00:00:00.000Z,2017-07-20T10:38:48.000Z
