ID_REVIEW,SK_ORDER,VAL_SCORE_REVIEW,DAT_CREATION,DAT_ANSWER
8278360118b83106ae74ccda2f674525,97961,4,2018-07-11T00:00:00.000Z,2018-07-14T15:22:36.000Z
3a0fd124d55874a20994ba75d0f57c67,69860,1,2018-06-26T00:00:00.000Z,2018-06-27T21:46:52.000Z
2deac296a2c2efa80fede1537545aed0,38728,5,2017-07-20T00:00:00.000Z,2017-07-22T21:27:16.000Z
f18f157f156e1966d869ee8ea7311bf7,85791,4,2017-06-10T00:00:00.000Z,2017-06-12T12:37:11.000Z
5984f4cbdd0a64a065fdfc7bfb4f9a44,629,5,2018-07-26T00:00:00.000Z,2018-07-28T20:12:24.000Z
3f1a35ff74d20ff23aea7aee995bf75f,23103,5,2018-02-23T00:00:00.000Z,2018-02-25T17:30:40.000Z
5e1922a3f61d8447804eb25db1dea715,39698,3,2018-02-15T00:00:00.000Z,2018-02-18T12:25:13.000Z
55dbb62b22b044b6fe41e767fc5d8eb1,39395,3,2018-05-24T00:00:00.000Z,2018-05-28T13:09:23.000Z
9565dc22312bfd725a3c7b801396a6d2,53050,5,2018-06-09T00:00:00.000Z,2018-06-10T14:24:10.000Z
007412f8eb1f71856e2f7f09ff70e6d0,22630,4,2017-03-29T00:00:00.000Z,2017-03-30T02:32:41.000Z
8993890d92c2f0f7ff4610c12c4e5c03,46707,5,2018-05-25T00:00:00.000Z,2018-05-25T19:40:00.000Z
b041fa3afbc81963daf9b2fbcb209b9e,67314,5,2018-06-19T00:00:00.000Z,2018-06-20T13:09:26.000Z
e8e4fbf06cebc109d453f4c7c6ddc49e,69573,5,2018-05-22T00:00:00.000Z,2018-05-23T00:16:03.000Z
be6c274abaca174ac78659d073753560,56384,4,2018-01-23T00:00:00.000Z,2018-01-24T12:12:55.000Z
60d8e8f93bc35bd5b6948c27d093740e,78734,5,2017-11-25T00:00:00.000Z,2017-11-27T13:39:11.000Z
c1f14f37febaa8ed3ae8c6bd560d96fa,37371,4,2017-10-10T00:00:00.000Z,2017-10-10T20:59:12.000Z
3a5253f1ee3dbe252bb698ea1bdd4fb5,85531,3,2017-10-10T00:00:00.000Z,2017-10-12T23:31:52.000Z
8efe9f09b7ba5ec223c9c7303ba1b182,138,5,2017-04-01T00:00:00.000Z,2017-04-03T13:41:17.000Z
1d230d2fee41fa7b123e2d54e78e0cd9,44706,5,2018-01-25T00:00:00.000Z,2018-01-30T01:25:04.000Z
3942b2b8aa378e35f33f923bc40f6d0e,7420,5,2017-11-17T00:00:00.000Z,2017-11-18T12:11:00.000Z
47260a5f1139f2fbcb25530137ad9776,89263,5,2018-02-09T00:00:00.000Z,2018-03-13T20:35:03.000Z
6da8b5c00df4189bf93c587b1a03ec4c,99241,5,2018-07-25T00:00:00.000Z,2018-08-16T15:50:46.000Z
eb17f1f97de10b2ddb30f09dbb319e4a,840,4,2018-06-01T00:00:00.000Z,2018-06-04T18:34:00.000Z
fa4cee0c488a3a6f84cb0aa42d82ef03,72793,5,2017-09-09T00:00:00.000Z,2017-09-10T03:59:44.000Z
df1be289420f1f58f2eb0be37d79596c,36975,5,2017-04-08T00:00:00.000Z,2017-04-11T01:15:48.000Z
32827784d9bb4fdf6e35c017e7b3d19b,78310,5,2017-10-07T00:00:00.000Z,2017-10-26T10:51:13.000Z
039789c4ddfdc8601e921a6b90730700,36556,1,2018-05-20T00:00:00.000Z,2018-05-21T22:39:18.000Z
8f50150783aa8c1549be39f61ae2acd4,93596,5,2018-05-09T00:00:00.000Z,2018-05-10T01:40:33.000Z
452635a251c170a4840199cbc21f73fd,48468,5,2017-08-11T00:00:00.000Z,2017-08-16T00:32:21.000Z
e4e8d4081e9b8c7205bec45a85002bf2,83443,5,2017-07-11T00:00:00.000Z,2017-07-12T12:50:19.000Z
a39f3009ea8e4271a97c31d68b55c9df,6946,5,2018-04-12T00:00:00.000Z,2018-04-12T22:49:57.000Z
ae44de457aba301431577c63cb04b4a3,38877,5,2018-08-21T00:00:00.000Z,2018-08-22T13:24:52.000Z
b3ef4767af71b2cdf7a6ebc529d8d300,55111,1,2018-04-07T00:00:00.000Z,2018-04-15T03:12:58.000Z
47404e8fa340a8ea8db30e63cdfe0966,62617,5,2017-05-17T00:00:00.000Z,2017-05-19T16:39:24.000Z
8ae333aa548d0fcd44acc321e282d06c,97511,4,2017-11-15T00:00:00.000Z,2017-11-16T11:17:11.000Z
8e68a4a5ced22588e1b68434ea6e5d84,23197,5,2018-05-23T00:00:00.000Z,2018-05-23T16:12:34.000Z
5e2ab9fb54a7221c652d4e8f5ceb6f4b,33151,5,2018-07-21T00:00:00.000Z,2018-07-24T01:47:13.000Z
9d0f560426d25330d743c34f48931bb2,35589,4,2017-05-28T00:00:00.000Z,2017-05-31T13:19:38.000Z
b87c1dd580ec9d9ab15bdc328e7245a7,49579,5,2018-05-15T00:00:00.000Z,2018-05-16T02:37:08.000Z
42f0477498fb1465c2777509dbef5e9c,77489,5,2017-10-04T00:00:00.000Z,2017-10-06T18:46:53.000Z
dde2d57db7881ecff8e520d828fef582,2597,5,2018-07-21T00:00:00.000Z,2018-07-24T00:05:48.000Z
69dc29f9f23f550bf25d3752bdcf96ef,48297,5,2018-06-13T00:00:00.000Z,2018-06-19T12:49:39.000Z
64184d1fbf4d37ea05546f2c16591eb9,84346,2,2017-04-12T00:00:00.000Z,2017-04-15T11:31:59.000Z
