SK_CUSTOMER,ID_CUSTOMER,COD_ZIP,DES_CITY,COD_STATE
46160,f2a1d75b74d9ec748af88e894cd87597,68590,Jacunda,PA
46161,f15272fe9d0e2ae3297185f18d3bac46,15056,Sao Jose Do Rio Preto,SP
46162,7324ecb0ff143f561193d22bea7d63fb,13302,Itu,SP
46163,7accf3d920f47c07f5bfbc88f53f9926,45638,Coaraci,BA
46164,3680a273ddb333253fa2edc7d3f8a3f2,29700,Colatina,ES
46165,f18edbd308dd8784ffee6af3f20fd662,18055,Sorocaba,SP
46166,d7492c2b1d4bcba6c2c8cfd6a25ef8c2,44054,Feira De Santana,BA
46167,208954ebe4665c5b2392ff5b25e918c2,09812,Sao Bernardo Do Campo,SP
46168,eb4e0055f25e3f034c9fe8da064abb3d,70673,Brasilia,DF
46169,8271ceeaf964f129bcc35e89a3d4520c,22793,Rio De Janeiro,RJ
46170,9c701fa0ca8a580d86ec245af013d65b,55819,Carpina,PE
46171,c2e1d65c47178eac5bd515e6653959e8,09370,Maua,SP
46172,36ffc4b2179b9dec36fcfe0595c28bf5,49400,Lagarto,SE
46173,167be5b45cbb0ea5a6ef63a599c16c8d,08223,Sao Paulo,SP
46174,49370a22da342102b4d388e16a30f5bc,95705,Bento Goncalves,RS
46175,8c49acfb0572260243fb807b44f94200,88385,Penha,SC
46176,972cd773a42450ed39ee9e1f290f3529,02013,Sao Paulo,SP
46177,7b2a039a8b7b57d48e97d3673978a185,02846,Sao Paulo,SP
46178,1e82589c6c7a1f0d30ecd3e87cdeaf0f,64082,Teresina,PI
46179,72d122e0e3d6c3300e4d07ec396d5e22,58053,Joao Pessoa,PB
46180,7d645d57533e7cfafcae083fb0f1b509,21670,Rio De Janeiro,RJ
46181,bc653fc2b72cb987f615a7694cd84c6a,22750,Rio De Janeiro,RJ
46182,64e20f73f3d7b5102461e9e66671bc47,15807,Catanduva,SP
46183,a9f11314b76b5d3662b70b192c3cafbf,13290,Louveira,SP
46184,e2691bbce4ba37372feb78d4f507fa3b,04045,Sao Paulo,SP
46185,2f3dc6fda9c82bef02f23f9387ef137e,07190,Guarulhos,SP
46186,e9d262259915d573a19866fc07d862e5,22795,Rio De Janeiro,RJ
46187,aa22daee92f1c49865df08f7b28b4d57,31720,Belo Horizonte,MG
46188,7236748354429cc6d4e409f177a183c0,72915,Aguas Lindas De Goias,GO
46189,9681479e5fb3c4895a11d61d9261f41e,09862,Sao Bernardo Do Campo,SP
46190,d5c38f60d37fed94adf6911209686a32,35162,Ipatinga,MG
46191,243b40772b00e4ba69a769305b7deb72,28960,Iguaba Grande,RJ
46192,d85a33fefc77c4027226b4af1683e21e,90130,Porto Alegre,RS
46193,45742477c326bf68df61971f1b7792c3,45910,Alcobaca,BA
46194,4c29da720594564093d90ef9c34144eb,28035,Campos Dos Goytacazes,RJ
46195,250ce9dfe50e99c23fe27a267c718e49,25975,Teresopolis,RJ
46196,9b474f065e302d1dbfb227075c1513c8,64900,Bom Jesus,PI
46197,b74584aa39691bb6fdd0f68571d3ba0b,62400,Camocim,CE
46198,89885df937157375f2aea4ccec60d274,21721,Rio De Janeiro,RJ
46199,a45c587035f04bb1a2534cc22a987655,59310,Sao Joao Do Sabugi,RN
46200,747273f8933ca373ed0b2640610e56e8,20551,Rio De Janeiro,RJ
46201,f4e35567dd4a7698f0dc5607f1f065ab,29560,Guacui,ES
46202,d5ef2005eca8ab3356125c50c6baa8cf,28890,Rio Das Ostras,RJ
46203,42de47849d20da22e217b9a5e1de1584,85660,Dois Vizinhos,PR
46204,005c36bfaa8710aaf61e4b1712ccd658,07401,Aruja,SP
46205,a1ebc1341c41be7604527a96353f2700,07032,Guarulhos,SP
46206,e6182e764d13472f7fd00a571fc71c0c,27286,Volta Redonda,RJ
46207,a24bcd38ab313cf3a81abffc89b98206,03210,Sao Paulo,SP
46208,7440dd9d4b5993f2cd33d845b5edab9a,80020,Curitiba,PR
46209,4373e14c9a936c5033553ff232ab132f,96180,Camaqua,RS
46210,6ee4303f27dc03360f9f7fba88cc644a,66060,Belem,PA
46211,981408ecd1bd02aa4bb69a5f85c452a3,75524,Itumbiara,GO
46212,cf5a949abba8b491211250ecbcc634e3,18065,Sorocaba,SP
46213,177ba55869da8001fcca079af0b85832,58039,Joao Pessoa,PB
46214,e94869a739b5e8d08b2be671ce692628,12328,Jacarei,SP
46215,ffdd13826fa94a17a1455e2367d3ba86,06656,Itapevi,SP
46216,b9699b7bf33f35c934fd99c1c25bb2e9,05382,Sao Paulo,SP
46217,0092770b2a1471643d88b60d6b804464,65260,Cedral,MA
46218,86077345114daef70e5009a273c9d8c9,32017,Contagem,MG
46219,a8a62f8d8e457bf2668ea328f0988de7,72445,Brasilia,DF
46220,713477f27e9bcb84f9449e11fb6378ec,25040,Duque De Caxias,RJ
46221,39a3f99c51f59150cbd4d1dfb52603cb,05083,Sao Paulo,SP
46222,cdf5d3222d200deac16e4b4c2e97b519,95590,Tramandai,RS
46223,1c6669022d784934e20b9378fb8fff57,86041,Londrina,PR
46224,62488077b67f2fe2558dd09fa9e81ed9,23087,Rio De Janeiro,RJ
46225,67fa506d20ee22b03dadaa961aead8ca,11060,Santos,SP
46226,a9132d11118521f5bcc480e1b814e9de,24457,Sao Goncalo,RJ
